miRNA,Target Gene
mmu-miR-101b-3p,Lmtk2
mmu-miR-101b-3p,Lrba
mmu-miR-101b-3p,Crebrf
mmu-miR-101b-3p,Lrba
mmu-miR-101b-3p,Slc7a11
mmu-miR-101b-3p,Fat1
mmu-miR-101b-3p,Elovl6
mmu-miR-101b-3p,
mmu-miR-101b-3p,Ino80d
mmu-miR-101b-3p,Ino80d
mmu-miR-101b-3p,Gpr98
mmu-miR-101b-3p,Fat1
mmu-miR-101b-3p,Muc5b
mmu-miR-101b-3p,D630045J12Rik
mmu-miR-101b-3p,Lpgat1
mmu-miR-101b-3p,Cep170
mmu-miR-101b-3p,Pou2f1
mmu-miR-101b-3p,Muc5b
mmu-miR-101b-3p,Trak2
mmu-miR-101b-3p,Smarca4
mmu-miR-101b-3p,
mmu-miR-101b-3p,Abcc12
mmu-miR-101b-3p,Anapc4
mmu-miR-101b-3p,Galnt1
mmu-miR-101b-3p,Pcdhb14
mmu-miR-101b-3p,Eng
mmu-miR-101b-3p,Brd2
mmu-miR-101b-3p,Draxin
mmu-miR-101b-5p,Prkce
mmu-miR-101b-5p,Bace1
mmu-miR-101b-5p,Amer1
mmu-miR-101b-5p,Maf
mmu-miR-101b-5p,Mprip
mmu-miR-101b-5p,Ints1
mmu-miR-101b-5p,Pcnx
mmu-miR-101b-5p,Nr3c1
mmu-miR-101b-5p,Lama4
mmu-miR-101b-5p,Dlgap1
mmu-miR-101b-5p,Zfp646
mmu-miR-101b-5p,Nr3c1
mmu-miR-101b-5p,Nr3c1
mmu-miR-101b-5p,Dlgap1
mmu-miR-101b-5p,N4bp2l2
mmu-miR-101b-5p,Itgav
mmu-miR-101b-5p,Pitpnm3
mmu-miR-101b-5p,Ahctf1
mmu-miR-101b-5p,Itgav
mmu-miR-101b-5p,Zfp148
mmu-miR-101b-5p,Tenm3
mmu-miR-101b-5p,Wdr52
mmu-miR-101b-5p,Bsn
mmu-miR-101b-5p,Zfp831
mmu-miR-101b-5p,Nrp1
mmu-miR-101b-5p,Zc3h13
mmu-miR-101b-5p,Cdh23
mmu-miR-101b-5p,Ahctf1
mmu-miR-101b-5p,Col5a2
mmu-miR-101b-5p,Dnmt3a
mmu-miR-101c,Fat1
