,Sample,Detector,Avg 3m Ct1,Avg 3m Ct2,Avg 3m Ct3,Media 3m ct,Avg 6m Ct1,Avg 6m Ct2,Media 6m ct,MEDIA CT 12 MESI,RQ1 3m ,RQ2 3m,RQ3 3m,Media RQ 3m,RQ1 6m,RQ2 6m,Media RQ 6m,RQ 12 MESI,Targets
526,HF_3mesi:setA_1,mmu-miR-509-5p-002520,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Abcb7,Pramef8,H2-T23,Sap18,Mrpl11,S100pbp,Irak1,Nip7,Brip1,Washc4,Cyp2e1,Klhl7,Mpv17,Hist2h3c1,Chrnb4,Wdr89,Tapbpl,Exosc2,Cflar,Slc7a2,Churc1,Man1b1,Dusp26,Ogdh,Ttc9c,Cxcr2,Bbs1,Lcmt2,Tmem69,Pdzd8,Bri3bp,Rab33b,Arpc4,Ttf1,Zfp459,Bcas2,Mrpl9,Slc25a34,Rs1,Mylk2,Trim44,Plxnc1"
527,"LF_3mesi,setA_1",mmu-miR-509-5p-002520,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Abcb7,Pramef8,H2-T23,Sap18,Mrpl11,S100pbp,Irak1,Nip7,Brip1,Washc4,Cyp2e1,Klhl7,Mpv17,Hist2h3c1,Chrnb4,Wdr89,Tapbpl,Exosc2,Cflar,Slc7a2,Churc1,Man1b1,Dusp26,Ogdh,Ttc9c,Cxcr2,Bbs1,Lcmt2,Tmem69,Pdzd8,Bri3bp,Rab33b,Arpc4,Ttf1,Zfp459,Bcas2,Mrpl9,Slc25a34,Rs1,Mylk2,Trim44,Plxnc1"
528,HF_3mesi:setA_1,mmu-miR-511-002549,33.879,34.44,33.109,33.8093333333333,34.981,36.0,35.4905,35.3701705932617,0.275,0.572,0.663,0.503333333333333,0.718,0.438,0.578,0.0,
529,"LF_3mesi,setA_1",mmu-miR-511-002549,32.326,33.2,32.281,32.6023333333333,34.006,34.624,34.315,35.1129188537598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
530,HF_3mesi:setA_1,mmu-miR-532-3p-002355,30.19,30.976,30.644,30.6033333333333,31.968,31.953,31.9605,32.9029960632324,0.906,0.909,0.817,0.877333333333333,1.156,0.762,0.959,0.0,"Maoa,Depdc5,Bicd2,Ptp4a3,Eif4g2,Cntn2,Oxsm,Tmem38b,Angel2,Tbc1d8b,Nat8f3,Pcdhb5,Grap,Hspb7,Larp1,Nav2,Ptprj,Cx3cr1,Kcnk6,Ky,Wdr25,Trim60,Arhgap23,Btrc,Tstd3"
531,"LF_3mesi,setA_1",mmu-miR-532-3p-002355,30.356,30.404,30.118,30.2926666666667,31.679,31.373,31.526,32.5459594726563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Maoa,Depdc5,Bicd2,Ptp4a3,Eif4g2,Cntn2,Oxsm,Tmem38b,Angel2,Tbc1d8b,Nat8f3,Pcdhb5,Grap,Hspb7,Larp1,Nav2,Ptprj,Cx3cr1,Kcnk6,Ky,Wdr25,Trim60,Arhgap23,Btrc,Tstd3"
532,HF_3mesi:setA_1,mmu-miR-532-5p-001518,27.857,29.284,27.866,28.3356666666667,30.992,29.964,30.478,31.6577529907227,0.806,0.477,0.998,0.760333333333333,0.784,0.785,0.7845,0.0,"Col8a1,Trub1,Ripor2,Mbd4,Exoc8,Kalrn,Gtpbp3,Dnmt3a,Hinfp,Fgl2,Rnd1,Dqx1,Pfas,Prrg3,Psd3,Pdzd8,Mfsd6,2810006K23Rik,Ccdc127,Ly6e,Trps1,Pde1a,Dnase2a,Zfp446,B4galnt2,Gabpb2,Supt7l,Zbtb8b,Sf3a1"
533,"LF_3mesi,setA_1",mmu-miR-532-5p-001518,27.856,27.781,27.629,27.7553333333333,30.144,29.429,29.7865,31.835319519043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Col8a1,Trub1,Ripor2,Mbd4,Exoc8,Kalrn,Gtpbp3,Dnmt3a,Hinfp,Fgl2,Rnd1,Dqx1,Pfas,Prrg3,Psd3,Pdzd8,Mfsd6,2810006K23Rik,Ccdc127,Ly6e,Trps1,Pde1a,Dnase2a,Zfp446,B4galnt2,Gabpb2,Supt7l,Zbtb8b,Sf3a1"
534,HF_3mesi:setA_1,mmu-miR-539-001286,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.031,0.654,0.3425,0.0,0.009,0.009,0.0,
535,"LF_3mesi,setA_1",mmu-miR-539-001286,40.0,34.57,39.152,37.9073333333333,0.0,32.981,32.981,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
